title,price,rate
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,£28.88,2
Gratitude,£26.66,5
Disrupted: My Misadventure in the Start-Up Bubble,£15.28,5
Brave Enough,£51.32,5
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",£27.35,2
Blink: The Power of Thinking Without Thinking,£21.74,5
Black Flags: The Rise of ISIS,£40.87,1
Are We Smart Enough to Know How Smart Animals Are?,£56.58,1
A Walk in the Woods: Rediscovering America on the Appalachian Trail,£30.48,4
"The Suffragettes (Little Black Classics, #96)",£11.89,2
Kindle Paperwhite User's Guide,£34.00,3
H is for Hawk,£57.42,5
Travels with Charley: In Search of America,£57.82,5
The Tumor,£41.56,5
The End of the Jesus Era (An Investigation #1),£14.40,1
"Eat, Pray, Love",£51.32,3
